filepath,class,label,subset
train\OSCC\aug_241_4472.jpg,OSCC,1,train
train\Normal\aug_118_3712.jpg,Normal,0,train
train\OSCC\aug_154_9035.jpg,OSCC,1,train
train\OSCC\OSCC_100x_133.jpg,OSCC,1,train
train\OSCC\aug_322_6984.jpg,OSCC,1,train
train\Normal\aug_68_9569.jpg,Normal,0,train
train\Normal\aug_68_4129.jpg,Normal,0,train
train\OSCC\aug_464_5494.jpg,OSCC,1,train
train\OSCC\aug_77_3717.jpg,OSCC,1,train
train\Normal\aug_140_9355.jpg,Normal,0,train
train\Normal\aug_637_6114.jpg,Normal,0,train
train\OSCC\OSCC_100x_303.jpg,OSCC,1,train
train\OSCC\aug_411_7274.jpg,OSCC,1,train
train\OSCC\OSCC_400x_130.jpg,OSCC,1,train
train\Normal\aug_337_8390.jpg,Normal,0,train
train\Normal\aug_496_7662.jpg,Normal,0,train
train\OSCC\OSCC_100x_266.jpg,OSCC,1,train
train\OSCC\OSCC_100x_402.jpg,OSCC,1,train
train\OSCC\OSCC_100x_229.jpg,OSCC,1,train
train\OSCC\aug_79_9732.jpg,OSCC,1,train
train\OSCC\aug_501_6991.jpg,OSCC,1,train
train\Normal\Normal_100x_44.jpg,Normal,0,train
train\OSCC\OSCC_400x_313.jpg,OSCC,1,train
train\Normal\aug_104_6742.jpg,Normal,0,train
train\OSCC\OSCC_400x_210.jpg,OSCC,1,train
train\OSCC\OSCC_400x_464.jpg,OSCC,1,train
train\OSCC\aug_383_4318.jpg,OSCC,1,train
train\OSCC\aug_193_8796.jpg,OSCC,1,train
train\OSCC\OSCC_400x_440.jpg,OSCC,1,train
train\OSCC\OSCC_400x_327.jpg,OSCC,1,train
train\Normal\Normal_400x_82.jpg,Normal,0,train
train\OSCC\aug_316_6697.jpg,OSCC,1,train
train\OSCC\OSCC_400x_443.jpg,OSCC,1,train
train\OSCC\OSCC_100x_291.jpg,OSCC,1,train
train\Normal\aug_446_535.jpg,Normal,0,train
train\OSCC\aug_353_2944.jpg,OSCC,1,train
train\Normal\aug_46_3531.jpg,Normal,0,train
train\OSCC\OSCC_100x_37.jpg,OSCC,1,train
train\Normal\Normal_100x_74.jpg,Normal,0,train
train\Normal\aug_65_3167.jpg,Normal,0,train
train\OSCC\aug_623_7819.jpg,OSCC,1,train
train\OSCC\aug_379_4674.jpg,OSCC,1,train
train\OSCC\aug_1_7247.jpg,OSCC,1,train
train\OSCC\aug_745_7255.jpg,OSCC,1,train
train\Normal\Normal_400x_12.jpg,Normal,0,train
train\OSCC\aug_341_5419.jpg,OSCC,1,train
train\OSCC\aug_160_8596.jpg,OSCC,1,train
train\OSCC\aug_724_5832.jpg,OSCC,1,train
train\OSCC\OSCC_100x_174.jpg,OSCC,1,train
train\OSCC\OSCC_100x_90.jpg,OSCC,1,train
train\OSCC\aug_379_1079.jpg,OSCC,1,train
train\OSCC\OSCC_100x_426.jpg,OSCC,1,train
train\OSCC\aug_655_3705.jpg,OSCC,1,train
train\OSCC\OSCC_100x_427.jpg,OSCC,1,train
train\Normal\aug_48_9078.jpg,Normal,0,train
train\OSCC\aug_226_8953.jpg,OSCC,1,train
train\Normal\aug_66_8149.jpg,Normal,0,train
train\OSCC\OSCC_100x_159.jpg,OSCC,1,train
train\Normal\aug_652_1770.jpg,Normal,0,train
train\Normal\aug_352_4838.jpg,Normal,0,train
train\OSCC\aug_253_894.jpg,OSCC,1,train
train\OSCC\aug_385_4622.jpg,OSCC,1,train
train\Normal\Normal_400x_81.jpg,Normal,0,train
train\OSCC\aug_563_807.jpg,OSCC,1,train
train\OSCC\OSCC_400x_196.jpg,OSCC,1,train
train\Normal\Normal_400x_39.jpg,Normal,0,train
train\Normal\Normal_400x_106.jpg,Normal,0,train
train\OSCC\aug_123_7122.jpg,OSCC,1,train
train\Normal\Normal_400x_166.jpg,Normal,0,train
train\OSCC\OSCC_100x_371.jpg,OSCC,1,train
train\OSCC\OSCC_100x_286.jpg,OSCC,1,train
train\Normal\aug_54_5752.jpg,Normal,0,train
train\OSCC\OSCC_100x_269.jpg,OSCC,1,train
train\OSCC\aug_401_1151.jpg,OSCC,1,train
train\OSCC\OSCC_100x_399.jpg,OSCC,1,train
train\OSCC\OSCC_400x_416.jpg,OSCC,1,train
train\OSCC\OSCC_400x_491.jpg,OSCC,1,train
train\OSCC\OSCC_100x_178.jpg,OSCC,1,train
train\OSCC\OSCC_400x_302.jpg,OSCC,1,train
train\Normal\aug_108_6962.jpg,Normal,0,train
train\OSCC\OSCC_400x_408.jpg,OSCC,1,train
train\Normal\aug_48_4236.jpg,Normal,0,train
train\OSCC\aug_337_3223.jpg,OSCC,1,train
train\OSCC\aug_673_7692.jpg,OSCC,1,train
train\Normal\aug_134_2719.jpg,Normal,0,train
train\Normal\aug_865_7144.jpg,Normal,0,train
train\Normal\aug_23_242.jpg,Normal,0,train
train\OSCC\aug_437_7634.jpg,OSCC,1,train
train\OSCC\aug_254_129.jpg,OSCC,1,train
train\OSCC\OSCC_400x_59.jpg,OSCC,1,train
train\Normal\aug_89_6867.jpg,Normal,0,train
train\Normal\aug_9_1766.jpg,Normal,0,train
train\Normal\aug_186_8719.jpg,Normal,0,train
train\Normal\aug_173_5916.jpg,Normal,0,train
train\OSCC\OSCC_400x_362.jpg,OSCC,1,train
train\OSCC\aug_466_8625.jpg,OSCC,1,train
train\OSCC\aug_602_8407.jpg,OSCC,1,train
train\OSCC\aug_357_1039.jpg,OSCC,1,train
train\OSCC\OSCC_400x_477.jpg,OSCC,1,train
train\Normal\Normal_100x_12.jpg,Normal,0,train
train\OSCC\OSCC_100x_27.jpg,OSCC,1,train
train\Normal\aug_14_496.jpg,Normal,0,train
train\Normal\aug_411_6643.jpg,Normal,0,train
train\Normal\aug_836_8247.jpg,Normal,0,train
train\Normal\aug_9_1827.jpg,Normal,0,train
train\Normal\aug_86_4234.jpg,Normal,0,train
train\OSCC\aug_507_6878.jpg,OSCC,1,train
train\OSCC\OSCC_100x_1.jpg,OSCC,1,train
train\OSCC\aug_258_1472.jpg,OSCC,1,train
train\Normal\aug_104_5163.jpg,Normal,0,train
train\OSCC\aug_382_5411.jpg,OSCC,1,train
train\Normal\aug_1_4867.jpg,Normal,0,train
train\OSCC\OSCC_100x_121.jpg,OSCC,1,train
train\OSCC\aug_245_2790.jpg,OSCC,1,train
train\OSCC\aug_154_2765.jpg,OSCC,1,train
train\OSCC\OSCC_100x_392.jpg,OSCC,1,train
train\OSCC\OSCC_100x_301.jpg,OSCC,1,train
train\OSCC\aug_377_8770.jpg,OSCC,1,train
train\OSCC\aug_38_5429.jpg,OSCC,1,train
train\OSCC\aug_340_1987.jpg,OSCC,1,train
train\Normal\aug_154_5012.jpg,Normal,0,train
train\OSCC\aug_104_1344.jpg,OSCC,1,train
train\OSCC\aug_388_2801.jpg,OSCC,1,train
train\OSCC\aug_283_3106.jpg,OSCC,1,train
train\Normal\aug_0_2142.jpg,Normal,0,train
train\Normal\aug_1_746.jpg,Normal,0,train
train\Normal\aug_72_1698.jpg,Normal,0,train
train\OSCC\aug_278_9874.jpg,OSCC,1,train
train\OSCC\OSCC_100x_294.jpg,OSCC,1,train
train\Normal\aug_44_1999.jpg,Normal,0,train
train\Normal\aug_137_9780.jpg,Normal,0,train
train\Normal\aug_224_1423.jpg,Normal,0,train
train\OSCC\aug_150_1550.jpg,OSCC,1,train
train\Normal\aug_201_1701.jpg,Normal,0,train
train\Normal\aug_57_3978.jpg,Normal,0,train
train\OSCC\OSCC_100x_138.jpg,OSCC,1,train
train\Normal\aug_91_6355.jpg,Normal,0,train
train\OSCC\OSCC_100x_9.jpg,OSCC,1,train
train\Normal\aug_97_4887.jpg,Normal,0,train
train\OSCC\aug_116_586.jpg,OSCC,1,train
train\Normal\aug_36_3141.jpg,Normal,0,train
train\Normal\aug_2_8006.jpg,Normal,0,train
train\Normal\aug_506_5907.jpg,Normal,0,train
train\OSCC\OSCC_100x_330.jpg,OSCC,1,train
train\OSCC\aug_393_2354.jpg,OSCC,1,train
train\Normal\aug_283_3433.jpg,Normal,0,train
train\OSCC\OSCC_400x_324.jpg,OSCC,1,train
train\Normal\aug_80_4600.jpg,Normal,0,train
train\Normal\aug_176_1740.jpg,Normal,0,train
train\Normal\aug_202_1897.jpg,Normal,0,train
train\Normal\Normal_400x_107.jpg,Normal,0,train
train\Normal\aug_552_1058.jpg,Normal,0,train
train\Normal\Normal_400x_40.jpg,Normal,0,train
train\OSCC\aug_208_4377.jpg,OSCC,1,train
train\OSCC\OSCC_400x_335.jpg,OSCC,1,train
train\OSCC\OSCC_400x_467.jpg,OSCC,1,train
train\OSCC\aug_404_6274.jpg,OSCC,1,train
train\Normal\aug_190_7315.jpg,Normal,0,train
train\OSCC\aug_209_850.jpg,OSCC,1,train
train\OSCC\aug_273_2031.jpg,OSCC,1,train
train\Normal\aug_116_1847.jpg,Normal,0,train
train\Normal\aug_148_4212.jpg,Normal,0,train
train\Normal\aug_240_1005.jpg,Normal,0,train
train\OSCC\aug_97_59.jpg,OSCC,1,train
train\Normal\Normal_400x_198.jpg,Normal,0,train
train\OSCC\aug_539_4631.jpg,OSCC,1,train
train\OSCC\aug_60_1420.jpg,OSCC,1,train
train\OSCC\OSCC_400x_220.jpg,OSCC,1,train
train\Normal\aug_207_8715.jpg,Normal,0,train
train\OSCC\aug_413_2273.jpg,OSCC,1,train
train\OSCC\OSCC_100x_270.jpg,OSCC,1,train
train\OSCC\OSCC_400x_253.jpg,OSCC,1,train
train\Normal\aug_187_4872.jpg,Normal,0,train
train\OSCC\aug_63_2221.jpg,OSCC,1,train
train\Normal\aug_123_9125.jpg,Normal,0,train
train\OSCC\aug_610_5064.jpg,OSCC,1,train
train\Normal\aug_112_6457.jpg,Normal,0,train
train\Normal\Normal_400x_98.jpg,Normal,0,train
train\OSCC\aug_241_7683.jpg,OSCC,1,train
train\OSCC\aug_296_5465.jpg,OSCC,1,train
train\Normal\aug_229_5714.jpg,Normal,0,train
train\Normal\aug_112_3602.jpg,Normal,0,train
train\Normal\Normal_100x_77.jpg,Normal,0,train
train\Normal\Normal_400x_43.jpg,Normal,0,train
train\Normal\aug_80_1082.jpg,Normal,0,train
train\OSCC\OSCC_100x_177.jpg,OSCC,1,train
train\OSCC\aug_48_6733.jpg,OSCC,1,train
train\Normal\aug_317_5344.jpg,Normal,0,train
train\Normal\aug_161_8523.jpg,Normal,0,train
train\Normal\aug_51_9320.jpg,Normal,0,train
train\Normal\Normal_400x_30.jpg,Normal,0,train
train\OSCC\aug_431_983.jpg,OSCC,1,train
train\Normal\aug_102_5184.jpg,Normal,0,train
train\OSCC\aug_425_7501.jpg,OSCC,1,train
train\OSCC\OSCC_100x_439.jpg,OSCC,1,train
train\OSCC\aug_172_666.jpg,OSCC,1,train
train\OSCC\aug_88_267.jpg,OSCC,1,train
train\OSCC\aug_434_3482.jpg,OSCC,1,train
train\Normal\aug_4_5606.jpg,Normal,0,train
train\Normal\aug_224_6064.jpg,Normal,0,train
train\OSCC\aug_428_6356.jpg,OSCC,1,train
train\Normal\aug_122_6955.jpg,Normal,0,train
train\OSCC\aug_66_1077.jpg,OSCC,1,train
train\Normal\aug_624_8322.jpg,Normal,0,train
train\Normal\aug_282_3649.jpg,Normal,0,train
train\Normal\aug_132_3909.jpg,Normal,0,train
train\OSCC\aug_279_2596.jpg,OSCC,1,train
train\Normal\aug_21_9897.jpg,Normal,0,train
train\Normal\aug_177_8322.jpg,Normal,0,train
train\OSCC\aug_668_217.jpg,OSCC,1,train
train\OSCC\aug_303_3034.jpg,OSCC,1,train
train\OSCC\aug_95_1090.jpg,OSCC,1,train
train\OSCC\OSCC_100x_378.jpg,OSCC,1,train
train\OSCC\aug_206_2901.jpg,OSCC,1,train
train\OSCC\aug_694_2281.jpg,OSCC,1,train
train\Normal\Normal_100x_61.jpg,Normal,0,train
train\OSCC\aug_107_2247.jpg,OSCC,1,train
train\OSCC\aug_579_1485.jpg,OSCC,1,train
train\Normal\aug_226_9863.jpg,Normal,0,train
train\OSCC\aug_524_9740.jpg,OSCC,1,train
train\OSCC\aug_1_5249.jpg,OSCC,1,train
train\OSCC\aug_361_2651.jpg,OSCC,1,train
train\OSCC\aug_381_3636.jpg,OSCC,1,train
train\Normal\aug_215_1577.jpg,Normal,0,train
train\OSCC\aug_55_6296.jpg,OSCC,1,train
train\Normal\aug_28_1334.jpg,Normal,0,train
train\Normal\Normal_400x_20.jpg,Normal,0,train
train\Normal\aug_179_9521.jpg,Normal,0,train
train\Normal\aug_70_5874.jpg,Normal,0,train
train\Normal\aug_155_5867.jpg,Normal,0,train
train\Normal\aug_66_6278.jpg,Normal,0,train
train\OSCC\aug_50_9735.jpg,OSCC,1,train
train\OSCC\OSCC_100x_400.jpg,OSCC,1,train
train\Normal\aug_186_570.jpg,Normal,0,train
train\OSCC\aug_4_5491.jpg,OSCC,1,train
train\OSCC\aug_81_6196.jpg,OSCC,1,train
train\OSCC\aug_101_1736.jpg,OSCC,1,train
train\OSCC\OSCC_100x_336.jpg,OSCC,1,train
train\OSCC\OSCC_100x_386.jpg,OSCC,1,train
train\OSCC\aug_688_8753.jpg,OSCC,1,train
train\Normal\Normal_400x_14.jpg,Normal,0,train
train\Normal\aug_152_331.jpg,Normal,0,train
train\Normal\aug_7_6937.jpg,Normal,0,train
train\Normal\aug_155_4219.jpg,Normal,0,train
train\OSCC\aug_131_1501.jpg,OSCC,1,train
train\Normal\aug_135_3580.jpg,Normal,0,train
train\OSCC\OSCC_100x_109.jpg,OSCC,1,train
train\OSCC\aug_408_3303.jpg,OSCC,1,train
train\OSCC\aug_421_175.jpg,OSCC,1,train
train\OSCC\OSCC_100x_428.jpg,OSCC,1,train
train\OSCC\aug_96_4443.jpg,OSCC,1,train
train\Normal\aug_413_8041.jpg,Normal,0,train
train\Normal\aug_335_7410.jpg,Normal,0,train
train\Normal\aug_169_6912.jpg,Normal,0,train
train\Normal\aug_71_2640.jpg,Normal,0,train
train\OSCC\OSCC_100x_318.jpg,OSCC,1,train
train\OSCC\aug_201_9624.jpg,OSCC,1,train
train\OSCC\aug_0_3486.jpg,OSCC,1,train
train\Normal\aug_6_551.jpg,Normal,0,train
train\OSCC\aug_127_5710.jpg,OSCC,1,train
train\Normal\aug_103_1458.jpg,Normal,0,train
train\OSCC\aug_98_4305.jpg,OSCC,1,train
train\OSCC\aug_689_5602.jpg,OSCC,1,train
train\OSCC\aug_404_5145.jpg,OSCC,1,train
train\Normal\aug_295_9921.jpg,Normal,0,train
train\Normal\aug_104_1184.jpg,Normal,0,train
train\Normal\aug_33_3672.jpg,Normal,0,train
train\OSCC\aug_289_5231.jpg,OSCC,1,train
train\Normal\aug_126_1480.jpg,Normal,0,train
train\Normal\aug_82_1194.jpg,Normal,0,train
train\OSCC\aug_702_3711.jpg,OSCC,1,train
train\OSCC\OSCC_400x_55.jpg,OSCC,1,train
train\Normal\aug_145_3113.jpg,Normal,0,train
train\Normal\aug_113_1130.jpg,Normal,0,train
train\Normal\aug_206_6972.jpg,Normal,0,train
train\Normal\aug_115_1230.jpg,Normal,0,train
train\Normal\aug_92_3195.jpg,Normal,0,train
train\OSCC\aug_107_7907.jpg,OSCC,1,train
train\OSCC\OSCC_400x_316.jpg,OSCC,1,train
train\OSCC\aug_206_4352.jpg,OSCC,1,train
train\OSCC\OSCC_400x_301.jpg,OSCC,1,train
train\OSCC\aug_124_2315.jpg,OSCC,1,train
train\Normal\Normal_100x_41.jpg,Normal,0,train
train\Normal\aug_64_6965.jpg,Normal,0,train
train\OSCC\aug_336_6525.jpg,OSCC,1,train
train\OSCC\OSCC_100x_265.jpg,OSCC,1,train
train\Normal\Normal_400x_134.jpg,Normal,0,train
train\OSCC\aug_246_2265.jpg,OSCC,1,train
train\Normal\aug_9_7244.jpg,Normal,0,train
train\Normal\aug_160_2993.jpg,Normal,0,train
train\OSCC\OSCC_400x_139.jpg,OSCC,1,train
train\Normal\aug_196_9193.jpg,Normal,0,train
train\Normal\aug_99_6294.jpg,Normal,0,train
train\OSCC\aug_535_7232.jpg,OSCC,1,train
train\Normal\aug_45_8211.jpg,Normal,0,train
train\OSCC\aug_189_2136.jpg,OSCC,1,train
train\Normal\aug_174_2341.jpg,Normal,0,train
train\Normal\aug_116_4040.jpg,Normal,0,train
train\OSCC\OSCC_400x_133.jpg,OSCC,1,train
train\OSCC\aug_163_5380.jpg,OSCC,1,train
train\Normal\aug_94_6810.jpg,Normal,0,train
train\Normal\Normal_400x_154.jpg,Normal,0,train
train\OSCC\OSCC_100x_68.jpg,OSCC,1,train
train\OSCC\aug_73_9330.jpg,OSCC,1,train
train\Normal\aug_9_5219.jpg,Normal,0,train
train\OSCC\aug_38_6895.jpg,OSCC,1,train
train\Normal\aug_89_3722.jpg,Normal,0,train
train\OSCC\aug_651_5641.jpg,OSCC,1,train
train\OSCC\aug_346_1641.jpg,OSCC,1,train
train\Normal\aug_177_2138.jpg,Normal,0,train
train\OSCC\aug_358_3157.jpg,OSCC,1,train
train\Normal\aug_107_2100.jpg,Normal,0,train
train\Normal\aug_93_6583.jpg,Normal,0,train
train\OSCC\aug_97_9542.jpg,OSCC,1,train
train\Normal\aug_135_4158.jpg,Normal,0,train
train\OSCC\aug_105_6924.jpg,OSCC,1,train
train\OSCC\aug_2_7649.jpg,OSCC,1,train
train\Normal\aug_195_5790.jpg,Normal,0,train
train\Normal\aug_164_698.jpg,Normal,0,train
train\OSCC\OSCC_400x_163.jpg,OSCC,1,train
train\Normal\aug_112_6674.jpg,Normal,0,train
train\Normal\aug_372_6244.jpg,Normal,0,train
train\Normal\aug_198_9849.jpg,Normal,0,train
train\OSCC\OSCC_400x_64.jpg,OSCC,1,train
train\OSCC\aug_19_8175.jpg,OSCC,1,train
train\Normal\aug_499_119.jpg,Normal,0,train
train\Normal\aug_331_9953.jpg,Normal,0,train
train\OSCC\OSCC_400x_76.jpg,OSCC,1,train
train\Normal\aug_842_1743.jpg,Normal,0,train
train\OSCC\aug_681_8124.jpg,OSCC,1,train
train\Normal\aug_186_2256.jpg,Normal,0,train
train\OSCC\aug_225_5041.jpg,OSCC,1,train
train\Normal\aug_119_6790.jpg,Normal,0,train
train\Normal\aug_86_1146.jpg,Normal,0,train
train\Normal\aug_97_8152.jpg,Normal,0,train
train\Normal\aug_152_1913.jpg,Normal,0,train
train\Normal\aug_110_9788.jpg,Normal,0,train
train\OSCC\OSCC_400x_34.jpg,OSCC,1,train
train\Normal\aug_208_2571.jpg,Normal,0,train
train\Normal\Normal_100x_55.jpg,Normal,0,train
train\Normal\aug_769_2376.jpg,Normal,0,train
train\Normal\aug_130_1007.jpg,Normal,0,train
train\Normal\aug_226_9620.jpg,Normal,0,train
train\OSCC\aug_599_2450.jpg,OSCC,1,train
train\Normal\aug_117_7658.jpg,Normal,0,train
train\OSCC\aug_51_6185.jpg,OSCC,1,train
train\Normal\aug_163_4868.jpg,Normal,0,train
train\OSCC\OSCC_400x_415.jpg,OSCC,1,train
train\Normal\aug_313_1352.jpg,Normal,0,train
train\Normal\aug_238_4221.jpg,Normal,0,train
train\Normal\aug_46_2824.jpg,Normal,0,train
train\Normal\aug_106_7745.jpg,Normal,0,train
train\OSCC\OSCC_100x_395.jpg,OSCC,1,train
train\Normal\aug_365_9457.jpg,Normal,0,train
train\Normal\aug_84_8681.jpg,Normal,0,train
train\Normal\Normal_400x_58.jpg,Normal,0,train
train\Normal\aug_4_5158.jpg,Normal,0,train
train\Normal\aug_96_8230.jpg,Normal,0,train
train\Normal\aug_94_9080.jpg,Normal,0,train
train\Normal\aug_46_4854.jpg,Normal,0,train
train\OSCC\aug_343_2036.jpg,OSCC,1,train
train\OSCC\OSCC_400x_180.jpg,OSCC,1,train
train\OSCC\OSCC_400x_424.jpg,OSCC,1,train
train\Normal\aug_184_9462.jpg,Normal,0,train
train\OSCC\OSCC_100x_367.jpg,OSCC,1,train
train\Normal\aug_216_1833.jpg,Normal,0,train
train\Normal\aug_225_3537.jpg,Normal,0,train
train\Normal\aug_182_4873.jpg,Normal,0,train
train\OSCC\aug_150_9141.jpg,OSCC,1,train
train\Normal\aug_12_9080.jpg,Normal,0,train
train\Normal\aug_227_4638.jpg,Normal,0,train
train\Normal\aug_35_9199.jpg,Normal,0,train
train\OSCC\aug_498_311.jpg,OSCC,1,train
train\OSCC\aug_40_6559.jpg,OSCC,1,train
train\Normal\aug_158_6903.jpg,Normal,0,train
train\OSCC\OSCC_100x_12.jpg,OSCC,1,train
train\OSCC\aug_343_9671.jpg,OSCC,1,train
train\Normal\aug_644_1054.jpg,Normal,0,train
train\Normal\aug_23_8276.jpg,Normal,0,train
train\OSCC\aug_507_937.jpg,OSCC,1,train
train\Normal\aug_5_3849.jpg,Normal,0,train
train\OSCC\aug_726_2870.jpg,OSCC,1,train
train\Normal\aug_423_5536.jpg,Normal,0,train
train\Normal\aug_834_8355.jpg,Normal,0,train
train\OSCC\OSCC_400x_25.jpg,OSCC,1,train
train\Normal\aug_151_9522.jpg,Normal,0,train
train\Normal\aug_82_5912.jpg,Normal,0,train
train\OSCC\OSCC_400x_371.jpg,OSCC,1,train
train\Normal\aug_171_1060.jpg,Normal,0,train
train\OSCC\OSCC_100x_85.jpg,OSCC,1,train
train\OSCC\aug_349_3714.jpg,OSCC,1,train
train\OSCC\OSCC_100x_373.jpg,OSCC,1,train
train\OSCC\aug_102_1470.jpg,OSCC,1,train
train\Normal\aug_138_8835.jpg,Normal,0,train
train\OSCC\OSCC_400x_192.jpg,OSCC,1,train
train\OSCC\aug_720_4836.jpg,OSCC,1,train
train\OSCC\aug_2_5125.jpg,OSCC,1,train
train\Normal\aug_203_1236.jpg,Normal,0,train
train\Normal\aug_107_8277.jpg,Normal,0,train
train\OSCC\OSCC_100x_77.jpg,OSCC,1,train
train\Normal\aug_718_7596.jpg,Normal,0,train
train\Normal\aug_52_2459.jpg,Normal,0,train
train\OSCC\aug_84_4785.jpg,OSCC,1,train
train\Normal\aug_72_1625.jpg,Normal,0,train
train\OSCC\aug_679_2096.jpg,OSCC,1,train
train\OSCC\aug_152_6154.jpg,OSCC,1,train
train\Normal\aug_227_205.jpg,Normal,0,train
train\Normal\aug_158_4682.jpg,Normal,0,train
train\Normal\aug_109_5420.jpg,Normal,0,train
train\OSCC\OSCC_100x_241.jpg,OSCC,1,train
train\OSCC\OSCC_100x_317.jpg,OSCC,1,train
train\OSCC\aug_78_7688.jpg,OSCC,1,train
train\Normal\Normal_400x_91.jpg,Normal,0,train
train\Normal\aug_260_690.jpg,Normal,0,train
train\OSCC\aug_57_8340.jpg,OSCC,1,train
train\OSCC\OSCC_400x_379.jpg,OSCC,1,train
train\OSCC\aug_231_4656.jpg,OSCC,1,train
train\OSCC\aug_64_4259.jpg,OSCC,1,train
train\OSCC\aug_739_4837.jpg,OSCC,1,train
train\Normal\aug_157_7641.jpg,Normal,0,train
train\OSCC\aug_126_501.jpg,OSCC,1,train
train\Normal\aug_191_2801.jpg,Normal,0,train
train\OSCC\aug_135_8436.jpg,OSCC,1,train
train\Normal\aug_230_7970.jpg,Normal,0,train
train\Normal\aug_685_3958.jpg,Normal,0,train
train\OSCC\OSCC_100x_230.jpg,OSCC,1,train
train\Normal\aug_112_4635.jpg,Normal,0,train
train\OSCC\aug_254_8444.jpg,OSCC,1,train
train\Normal\aug_187_8753.jpg,Normal,0,train
train\Normal\aug_185_7006.jpg,Normal,0,train
train\OSCC\aug_421_7181.jpg,OSCC,1,train
train\Normal\aug_121_5806.jpg,Normal,0,train
train\Normal\aug_878_9950.jpg,Normal,0,train
train\OSCC\OSCC_400x_87.jpg,OSCC,1,train
train\Normal\aug_4_4704.jpg,Normal,0,train
train\OSCC\aug_330_5072.jpg,OSCC,1,train
train\OSCC\OSCC_400x_382.jpg,OSCC,1,train
train\Normal\aug_3_4507.jpg,Normal,0,train
train\OSCC\OSCC_100x_234.jpg,OSCC,1,train
train\OSCC\aug_539_3488.jpg,OSCC,1,train
train\Normal\aug_777_3017.jpg,Normal,0,train
train\OSCC\aug_529_9542.jpg,OSCC,1,train
train\Normal\aug_36_742.jpg,Normal,0,train
train\OSCC\OSCC_400x_22.jpg,OSCC,1,train
train\OSCC\aug_69_3291.jpg,OSCC,1,train
train\OSCC\OSCC_100x_323.jpg,OSCC,1,train
train\OSCC\aug_485_8556.jpg,OSCC,1,train
train\OSCC\aug_395_8111.jpg,OSCC,1,train
train\Normal\aug_593_8819.jpg,Normal,0,train
train\OSCC\OSCC_100x_79.jpg,OSCC,1,train
train\OSCC\OSCC_100x_320.jpg,OSCC,1,train
train\Normal\aug_215_1322.jpg,Normal,0,train
train\OSCC\aug_140_6880.jpg,OSCC,1,train
train\Normal\Normal_400x_167.jpg,Normal,0,train
train\OSCC\OSCC_400x_307.jpg,OSCC,1,train
train\OSCC\OSCC_400x_478.jpg,OSCC,1,train
train\Normal\aug_192_7067.jpg,Normal,0,train
train\OSCC\OSCC_400x_431.jpg,OSCC,1,train
train\OSCC\aug_94_3259.jpg,OSCC,1,train
train\Normal\aug_56_6179.jpg,Normal,0,train
train\Normal\Normal_400x_123.jpg,Normal,0,train
train\OSCC\aug_640_8188.jpg,OSCC,1,train
train\OSCC\OSCC_100x_376.jpg,OSCC,1,train
train\Normal\aug_1_824.jpg,Normal,0,train
train\OSCC\OSCC_100x_305.jpg,OSCC,1,train
train\Normal\aug_436_22.jpg,Normal,0,train
train\OSCC\OSCC_400x_246.jpg,OSCC,1,train
train\OSCC\aug_688_4502.jpg,OSCC,1,train
train\OSCC\aug_76_6517.jpg,OSCC,1,train
train\Normal\aug_342_3398.jpg,Normal,0,train
train\Normal\Normal_400x_101.jpg,Normal,0,train
train\OSCC\aug_195_7997.jpg,OSCC,1,train
train\OSCC\OSCC_400x_305.jpg,OSCC,1,train
train\Normal\aug_114_2020.jpg,Normal,0,train
train\Normal\aug_123_6111.jpg,Normal,0,train
train\OSCC\aug_75_4036.jpg,OSCC,1,train
train\OSCC\aug_415_4170.jpg,OSCC,1,train
train\OSCC\aug_367_6453.jpg,OSCC,1,train
train\OSCC\aug_423_2617.jpg,OSCC,1,train
train\Normal\aug_360_892.jpg,Normal,0,train
train\Normal\aug_150_1490.jpg,Normal,0,train
train\Normal\aug_111_1523.jpg,Normal,0,train
train\Normal\aug_230_9643.jpg,Normal,0,train
train\Normal\aug_173_6579.jpg,Normal,0,train
train\Normal\aug_96_4800.jpg,Normal,0,train
train\OSCC\aug_469_2334.jpg,OSCC,1,train
train\OSCC\aug_501_9021.jpg,OSCC,1,train
train\Normal\aug_40_1006.jpg,Normal,0,train
train\Normal\Normal_400x_37.jpg,Normal,0,train
train\OSCC\OSCC_100x_43.jpg,OSCC,1,train
train\OSCC\aug_386_4498.jpg,OSCC,1,train
train\Normal\aug_846_9357.jpg,Normal,0,train
train\OSCC\aug_531_9439.jpg,OSCC,1,train
train\OSCC\OSCC_400x_223.jpg,OSCC,1,train
train\OSCC\aug_419_6032.jpg,OSCC,1,train
train\Normal\aug_411_9022.jpg,Normal,0,train
train\Normal\aug_77_1184.jpg,Normal,0,train
train\Normal\aug_132_3638.jpg,Normal,0,train
train\OSCC\aug_430_6979.jpg,OSCC,1,train
train\OSCC\OSCC_400x_113.jpg,OSCC,1,train
train\OSCC\aug_3_8577.jpg,OSCC,1,train
train\Normal\aug_47_5084.jpg,Normal,0,train
train\OSCC\aug_653_3564.jpg,OSCC,1,train
train\Normal\aug_195_3033.jpg,Normal,0,train
train\OSCC\OSCC_100x_309.jpg,OSCC,1,train
train\Normal\aug_91_2353.jpg,Normal,0,train
train\OSCC\aug_717_2694.jpg,OSCC,1,train
train\OSCC\OSCC_400x_43.jpg,OSCC,1,train
train\OSCC\OSCC_400x_168.jpg,OSCC,1,train
